"Entity_Name","Address","Floor","Borough","State","Zip","AED_NumPersonTrained","AED_NumAeds","Latitude","Longitude","Community_District","Council_District","Census_Tract_2010","NTA_Code","BBL","BIN","Location Point","Location Type","Last Updated"
"P.S. 011 Highbridge","1257 Ogden Avenue","Third Floor Outside 305","Bronx","New York","10452","11","1","40.83937159","-73.92571333","204","16","20100","BX26","2025290081","2003519","POINT (-73.92571333 40.83937159)","Public Schools",
"Big Six Towers","59-55 47 AVENUE","1st Floor","Queens","New York","11377","22","1","40.73992445","-73.90441824","402","26","24500","QN63","4023140001","4432198","POINT (-73.90441824 40.73992445)","Businesses & Commercial Spaces",
"P.S. 188 Kingsbury","218-12 Hartland Avenue","Main Entrance","Queens","New York","11364","9","1","40.73616894","-73.7531582","411","23","129104","QN42","4077740165","4164350","POINT (-73.7531582 40.73616894)","Public Schools",
"Eisner Amper LLP","750 THIRD AVENUE","14th floor / coat closet","Manhattan","New York","10017","35","1","40.75371493","-73.97230885","106","4","9200","MN19","1013010033","1036207","POINT (-73.97230885 40.75371493)","Businesses & Commercial Spaces",
"Uncommon Charter High School","1485 Pacific Street","Main Entrance","Brooklyn","New York","11216","10","1","40.67725102","-73.94238852","308","36","31300","BK61","3012030044","3397030","POINT (-73.94238852 40.67725102)","School",
"Hebrew Language Academy Charter School","2186 Mill Avenue","3rd Floor, outside rm 309","Brooklyn","New York","11234","6","1","40.61385206","-73.9121416","318","46","69800","BK45","3084707502","3332530","POINT (-73.9121416 40.61385206)","School",
"P.S. 032 State Street","171-11 35 Avenue","outside nurse","Queens","New York","11358","19","1","40.76475519","-73.79468226","407","19","114100","QN51","4052560001","4118954","POINT (-73.79468226 40.76475519)","Public Schools",
"I.S. 072 Rocco Laurie","33 Ferndale Avenue","2nd Floor Opposite Room 219I","Staten Island","New York","10314","8","1","40.59299732","-74.15898712","502","51","27706","SI24","5023640001","5037524","POINT (-74.15898712 40.59299732)","Public Schools",
"J.H.S. 074 Nathaniel Hawthorne","61-15 Oceania Street","Basement","Queens","New York","11364","9","1","40.74519341","-73.76744486","411","23","136700","QN42","4077230001","4163953","POINT (-73.76744486 40.74519341)","Public Schools",
"Columbia University - Mudd Building","500 WEST 120 STREET","400 Level Lobby","Manhattan","New York","10027","1","1","40.80949828","-73.95963126","109","7","20300","MN09","1019730001","1089910","POINT (-73.95963126 40.80949828)","Colleges & Universities","09/06/2024"
"Selfhelp Latimer Gardens Senior Centers","45-25 Kissena Blvd","Office","Queens","New York","11355","1","1","40.75175783","-73.82033032","407","20","120500","QN52","4052000052","4117390","POINT (-73.82033032 40.75175783)","Senior Centers",
"American Girl","75 Rockefeller Plaza",,"Manhattan","New York","10017","9","1","40.75975736","-73.97790137","105","4","10400","MN17","1012670022","1034512","POINT (-73.97790137 40.75975736)","Businesses & Commercial Spaces",
"P.S. 254 - The Rosa Parks School","84-40 101 Street","outside room 300J","Queens","New York","11418","8","1","40.6979536","-73.8479599","409","29","2400","QN54","4091770023","4191296","POINT (-73.8479599 40.6979536)","Public Schools",
"Rudin Management","1 Battery Park Plaza","FL 35","Manhattan","New York","10004","5","1","40.70321093","-74.01441211","101","1","900","MN25","1000090029","1000021","POINT (-74.01441211 40.70321093)","Businesses & Commercial Spaces","09/16/2025"
"August Martin High School","156-10 BAISLEY BOULEVARD","Main Entrance","Queens","New York","11434","35","1","40.6756252","-73.78334193","412","28","29400","QN02","4122610001","4265978","POINT (-73.78334193 40.6756252)","School","03/10/2025"
"Drug Enforcement Administration","99 10th Avenue","-","Manhattan","New York","10011","1","7","40.74358988","-74.00715631","104","3","9900","MN13","1006887501","1012278","POINT (-74.00715631 40.74358988)","Government Buildings & Services","04/02/2025"
"Epstein Becker Green","250 PARK AVENUE","12th floor / elevator lobby","Manhattan","New York","10177","16","1","40.7550112","-73.97556764","105","4","9400","MN17","1012820034","1035405","POINT (-73.97556764 40.7550112)","Businesses & Commercial Spaces",
"Harry S. Truman High School","750 Baychester Avenue","1st floor exit 4","Bronx","New York","10475","42","1","40.87408155","-73.83390182","210","12","46201","BX13","2051410150","2116159","POINT (-73.83390182 40.87408155)","School",
"Longwood Preparatory Academy","965 Longwood Avenue","PSAL","Bronx","New York","10459","28","5","40.817602","-73.897985","202","17","8700","BX02","2027100001","2005616","POINT (-73.897985 40.817602)","Public Schools","03/10/2025"
"Equinox","421 HUDSON STREET",,"Manhattan","New York","10014","4","3","40.73005547","-74.00689146","102","3","6900","MN23","1006017501","1067116","POINT (-74.00689146 40.73005547)","Health Clubs & Gyms",
"MacAndrews & Forbes","86 MACDOUGAL STREET","N/A","Manhattan","New York","10012","5","1","40.72867504","-74.00158753","102","2","6500","MN23","1005260050","1008314","POINT (-74.00158753 40.72867504)","Businesses & Commercial Spaces",
"M.S. 224 Manhattan East School for Arts & Academics","410 East 100 Street","5th fl Outside RM 510","Manhattan","New York","10029","8","1","40.78566384","-73.94254713","111","8","16200","MN33","1016930001","1052998","POINT (-73.94254713 40.78566384)","Public Schools",
"Tishman Speyer - The Spiral","66 Hudson Boulevard","Property Management Office","Manhattan","New York","10001","0","1","40.75548041","-74.00021296","104","3","9900","MN13","1007060017","1090122","POINT (-74.00021296 40.75548041)","Businesses & Commercial Spaces",
"Department of Citywide Administrative Services","120 Schermerhorn Street","FL 08","Brooklyn","New York","11201","2","1","40.69006659","-73.98892261","302","33","4300","BK38","3001690017","3000534","POINT (-73.98892261 40.69006659)","Government Buildings & Services",
"Barrymore Theater","243 West 47th st","coatcheck","Manhattan","New York","10036","2","1","40.75983001","-73.98610261","105","3","12500","MN17","1010190012","1024755","POINT (-73.98610261 40.75983001)","Performance Venues",
"The Lexington Academy","131 East 104 Street","1st Floor Cafeteria-Near School Safety","Manhattan","New York","10029","9","1","40.7911723","-73.9477753","111","8","16600","MN33","1016320011","1081340","POINT (-73.9477753 40.7911723)","School",
"P.S. 279 Herman Schreiber","1070 East 104 Street","Main Entrance","Brooklyn","New York","11236","36","1","40.64419515","-73.89226459","318","46","98600","BK50","3082300001","3326733","POINT (-73.89226459 40.64419515)","Public Schools","03/10/2025"
"US Attorneys' Office - New York (Dept of Justice) - St. Andrew's Plaza, NYC","1 SAINT ANDREWS PLAZA","Rm 924","Manhattan","New York","10007","15","2","40.71267303","-74.00273061","101","1","2900","MN27","1001590060","1001680","POINT (-74.00273061 40.71267303)","Government Buildings & Services",
"Bailey House, Inc","180 CHRISTOPHER STREET","1st floor / straight across from office door above shredder","Manhattan","New York","10014","6","1","40.73242672","-74.00992261","102","3","6900","MN23","1006040003","1010417","POINT (-74.00992261 40.73242672)","Health & Social Services",
"P138M @ M380 (M380)","508 West 153 Street","outside starwell 402","Manhattan","New York","10031","3","1","40.83049748","-73.94449572","109","7","23700","MN04","1020840040","1062237","POINT (-73.94449572 40.83049748)","Public Schools",
"The Port Authority of New York & New Jersey - Battery Park City Ferry Terminal","199 Vesey Street","Battery Park Ferry Terminal","Manhattan","New York","10281","5","2","40.71445337","-74.01547868","101","1","31703","MN25",,,"POINT (-74.01547868 40.71445337)","Ferries & Other Transportation",
"UM NY Global Headquarters","100 West 33rd Street","FL 14 - Across from Café","Manhattan","New York","10001","2","1","40.74929316","-73.98867453","105","3","10100","MN17","1008080040","1015190","POINT (-73.98867453 40.74929316)","Businesses & Commercial Spaces","12/16/2024"
"Adacore Technologies","150 West 30th Street","16th Floor","Manhattan","New York","10001","8","1","40.74786884","-73.99106397","105","3","9500","MN17","1008050094","1015152","POINT (-73.99106397 40.74786884)","Businesses & Commercial Spaces",
"Deutsche Bank","60 WALL STREET","All 47 floors by the freight elevators, executive security, cafeteria","Manhattan","New York","10005","65","63","40.70590688","-74.00860938","101","1","700","MN25","1000400003","1001004","POINT (-74.00860938 40.70590688)","Businesses & Commercial Spaces",
"Morgan Stanley - ISG - New York Metro - 750 7th Avenue - Floor: 30","750 SEVENTH AVENUE","Floor: 30","Manhattan","New York","10019","1","1","40.76074642","-73.98352505","105","3","12500","MN17","1010210026","1024795","POINT (-73.98352505 40.76074642)","Businesses & Commercial Spaces",
"P.S. 326 Brooklyn","1800 Utica Avenue","Main Entrance","Brooklyn","New York","11234","8","1","40.62865199","-73.92793021","318","45","72800","BK58","3077750001","3215550","POINT (-73.92793021 40.62865199)","Public Schools",
"Theatrical Wardrobe Union Local 764","545 West 45th Street","FL 02","Manhattan","New York","10036","9","1","40.7622791","-73.99579453","104","3","2001","MN15","1010747501","1026952","POINT (-73.99579453 40.7622791)","Businesses & Commercial Spaces","06/25/2024"
"Hebrew Language Academy Charter School II (NEW)","2286 Cropsey Ave","3rd floor outside Stairwell E","Brooklyn","New York","11214","3","1","40.59583601","-73.99700052","311","47","29400","BK28","3064710109","3425955","POINT (-73.99700052 40.59583601)","School",
"P.S. 048 Joseph R. Drake","1290 Spofford Avenue","main entrance","Bronx","New York","10474","7","1","40.81441773","-73.88695189","202","17","9300","BX27","2027660001","2006680","POINT (-73.88695189 40.81441773)","Public Schools",
"BFFY Ozone Park Senior Centers","103-02 101st Avenue","Site Manager's Office","Queens","New York","11420","1","1","40.68601914","-73.83977703","409","29","11200","QN54","4094210001","4198392","POINT (-73.83977703 40.68601914)","Senior Centers",
"P.S./M.S. 114 Belle Harbor","134-01 Cronston Avenue","rm 162","Queens","New York","11694","12","1","40.57825365","-73.85440361","414","32","92800","QN10","4162570001","4305615","POINT (-73.85440361 40.57825365)","Public Schools",
"Apex for Youth - New York, NY","120 Walker Street","FL 05","Manhattan","New York","10013","12","1","40.7174517","-73.99978356","101","1","2900","MN27","1001980030","1002366","POINT (-73.99978356 40.7174517)","Health Clubs & Gyms","07/28/2025"
"Family Life Academy Charter School III","370 Gerard Avenue","Outside 3rd floor stairway","Bronx","New York","10451","12","1","40.81621158","-73.93028055","201","8","6300","BX63","2023440110","2001028","POINT (-73.93028055 40.81621158)","School",
"Washington Heights Expeditionary Learning School ANNEX","512 West 182 Street, Annex Building","Main Entrance Annex","Manhattan","New York","10033","1","1","40.84891835","-73.93102688","112","10","26900","MN35","1021550006","1063699","POINT (-73.93102688 40.84891835)","School",
"P.S. 054 Charles W. Leng","1060 Willowbrook Road","stand alone gym","Staten Island","New York","10314","31","1","40.60322421","-74.13798047","502","50","27302","SI05","5019870104","5034476","POINT (-74.13798047 40.60322421)","Public Schools","03/10/2025"
"Morgan Stanley - ISG - New York Metro - 111 Wall Street - Floor: 20","111 WALL STREET","-","Manhattan","New York","10005","2","1","40.70454561","-74.00663634","101","1","700","MN25","1000350010","1000868","POINT (-74.00663634 40.70454561)","Businesses & Commercial Spaces",
"Internal Revenue Service","290 BROADWAY","FL 04 - North Main Door","Manhattan","New York","10007","36","1","40.71480011","-74.00576441","101","1","3100","MN24","1001540001","1083094","POINT (-74.00576441 40.71480011)","Government Buildings & Services",
"M.S. 137 America's School of Heroes","109-15 98 Street","Outside Room 419. library","Queens","New York","11417","12","1","40.67809246","-73.83994757","410","32","8600","QN56","4091720001","4467457","POINT (-73.83994757 40.67809246)","Public Schools",
"Liberty Avenue Middle School","350 Linwood Street","outside 243","Brooklyn","New York","11208","7","1","40.67709643","-73.88343253","305","37","117000","BK82","3039690001","3088357","POINT (-73.88343253 40.67709643)","School",
"P.S. 108 Sal Abbracciamento","200 Linwood Street","MAIN ENTRANCE","Brooklyn","New York","11208","10","1","40.6812609","-73.88406338","305","37","117202","BK83","3039260045","3087131","POINT (-73.88406338 40.6812609)","Public Schools",
"East Brooklyn Community High School","9517 Kings Highway","PSAL - in Cafeteria with PE Teacher","Brooklyn","New York","11212","7","38","40.659824","-73.920428","317","41","88600","BK17","3046500015","3101218","POINT (-73.920428 40.659824)","Public Schools","03/10/2025"
"District 29 Pre-K Center at 168-42 Jamaica Avenue (Q381)","168-42 Jamaica Avenue","Main Entrance By School Safety","Queens","New York","11432","1","1","40.70670815","-73.79130179","412","27","44400","QN61","4102100022","4542034","POINT (-73.79130179 40.70670815)","Public Schools",
"P.S. 153 Maspeth Elem","60-02 60th Lane","MAIN ENTRANCE","Queens","New York","11378","17","1","40.71660154","-73.90366902","405","30","59900","QN30","4027320018","4060987","POINT (-73.90366902 40.71660154)","Public Schools",
"Morgan Stanley - 1585 Broadway","1585 Broadway","FL 23","Manhattan","New York","10036","7","1","40.76020869","-73.98533366","105","3","12500","MN17","1010197502","1076193","POINT (-73.98533366 40.76020869)","Businesses & Commercial Spaces","06/03/2024"
