-8.73  11  - IDs instalados: 0 1 2 5 7 10 12 13 14 15 16 17 18 
-2.74  0  - IDs instalados: 2 10 
-5.27  6  - IDs instalados: 0 1 2 8 10 12 13 15 
-7.06  9  - IDs instalados: 0 2 3 4 5 7 9 10 11 12 15 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-10.45  12  - IDs instalados: 2 3 4 5 6 7 9 10 11 14 15 16 17 18 
-11.67  16  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 
-8.55  12  - IDs instalados: 0 1 2 3 4 8 9 10 12 13 14 15 17 18 
-2.74  1  - IDs instalados: 2 3 10 
-9.91  11  - IDs instalados: 0 1 2 5 6 7 8 9 10 13 16 17 18 
-6.13  3  - IDs instalados: 1 2 7 10 16 
-8.93  12  - IDs instalados: 1 2 3 4 5 7 9 10 12 13 15 16 17 18 
-6.12  4  - IDs instalados: 2 4 5 10 16 17 
-11.67  15  - IDs instalados: 0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 18 
-4.53  1  - IDs instalados: 2 10 18 
-5.27  2  - IDs instalados: 1 2 10 18 
-9.68  13  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
-9.66  13  - IDs instalados: 0 2 3 4 5 7 8 9 10 11 13 14 15 16 17 
-4.03  2  - IDs instalados: 0 2 8 10 
-7.59  8  - IDs instalados: 2 3 6 10 11 12 13 14 15 18 
-6.32  6  - IDs instalados: 1 2 3 5 6 7 10 15 
-8.63  8  - IDs instalados: 0 1 2 3 4 5 10 11 14 18 
-5.8  3  - IDs instalados: 2 6 10 12 17 
-2.74  0  - IDs instalados: 2 10 
-6.28  7  - IDs instalados: 0 2 4 6 10 12 13 14 15 
-8.71  8  - IDs instalados: 1 2 4 6 9 10 11 12 15 18 
-6.35  4  - IDs instalados: 2 3 8 9 10 18 
-9.74  10  - IDs instalados: 2 4 5 6 7 8 10 11 14 15 17 18 
-10.81  16  - IDs instalados: 0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-9.22  8  - IDs instalados: 0 1 2 4 6 9 10 14 15 17 
-2.74  0  - IDs instalados: 2 10 
-7.47  10  - IDs instalados: 0 2 3 4 6 9 10 11 12 13 14 15 
-6.58  4  - IDs instalados: 2 7 9 10 11 18 
-3.9  2  - IDs instalados: 2 7 10 12 
-10.96  15  - IDs instalados: 0 1 2 3 4 5 6 7 10 11 12 13 14 15 16 17 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-7.32  7  - IDs instalados: 2 6 9 10 13 14 16 17 18 
-11.19  16  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 
-7.9  6  - IDs instalados: 0 2 5 6 10 12 14 16 
-7.49  8  - IDs instalados: 1 2 3 5 10 12 13 14 16 17 
-6.12  4  - IDs instalados: 2 8 10 11 16 18 
-5.71  4  - IDs instalados: 0 2 6 8 9 10 
-10.45  14  - IDs instalados: 0 2 3 4 5 6 7 9 10 12 13 14 15 16 17 18 
-7.18  6  - IDs instalados: 2 7 10 11 14 15 16 17 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-5.17  6  - IDs instalados: 1 2 9 10 11 12 13 15 
-9.44  8  - IDs instalados: 2 4 5 6 7 9 10 11 12 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-10.89  15  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-6.12  3  - IDs instalados: 2 4 5 10 18 
-7.73  9  - IDs instalados: 0 1 2 5 6 10 12 15 16 17 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-9.59  14  - IDs instalados: 0 2 3 4 5 6 8 9 10 12 13 14 15 16 17 18 
-8.92  11  - IDs instalados: 1 2 3 6 7 8 9 10 13 14 16 17 18 
-6.92  6  - IDs instalados: 1 2 6 10 11 15 16 18 
-5.64  2  - IDs instalados: 2 10 14 17 
-10.63  12  - IDs instalados: 1 2 4 5 6 8 9 10 11 12 13 14 15 16 
-2.74  0  - IDs instalados: 2 10 
-8.25  12  - IDs instalados: 0 1 2 3 8 9 10 11 12 13 15 16 17 18 
-8.2  8  - IDs instalados: 0 2 3 5 7 9 10 14 16 18 
-8.38  11  - IDs instalados: 0 1 2 5 8 9 10 12 13 14 16 17 18 
-9.59  12  - IDs instalados: 0 1 2 3 4 7 9 10 11 13 14 15 17 18 
-6.02  6  - IDs instalados: 0 2 3 8 10 15 16 17 
-10.45  14  - IDs instalados: 0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 
-4.53  2  - IDs instalados: 2 3 10 18 
-3.6  2  - IDs instalados: 2 3 7 10 
-10.89  15  - IDs instalados: 0 1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 
-11.47  14  - IDs instalados: 0 1 2 3 4 5 6 7 9 10 11 12 13 14 17 18 
-2.94  1  - IDs instalados: 2 10 15 
-6.51  6  - IDs instalados: 2 3 5 6 10 15 17 18 
-3.71  1  - IDs instalados: 2 6 10 
-10.89  15  - IDs instalados: 0 1 2 3 5 6 7 9 10 11 12 13 14 15 16 17 18 
-2.74  0  - IDs instalados: 2 10 
-5.88  5  - IDs instalados: 2 5 6 7 10 12 15 
-6.26  7  - IDs instalados: 0 1 2 3 5 10 11 14 15 
-9.51  13  - IDs instalados: 0 1 2 3 4 5 7 8 10 12 13 14 15 16 17 
-9.34  11  - IDs instalados: 0 2 6 7 8 9 10 11 12 14 15 16 17 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-2.74  0  - IDs instalados: 2 10 
-11.49  16  - IDs instalados: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-6.42  4  - IDs instalados: 2 4 8 10 14 18 
-4.23  2  - IDs instalados: 2 4 9 10 
-7.73  6  - IDs instalados: 2 4 5 10 12 14 15 16 
-4.53  1  - IDs instalados: 2 10 16 
-2.74  0  - IDs instalados: 2 10 
-7.58  8  - IDs instalados: 0 1 2 3 4 6 7 10 14 15 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-10.96  16  - IDs instalados: 0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-8.36  11  - IDs instalados: 0 1 2 4 6 7 8 10 11 12 13 14 15 
-9.32  9  - IDs instalados: 0 1 2 4 6 8 9 10 12 13 17 
-9.8  13  - IDs instalados: 0 1 2 3 4 6 8 9 10 11 12 14 16 17 18 
-2.74  0  - IDs instalados: 2 10 
-5.8  5  - IDs instalados: 2 6 10 11 12 14 15 
-9.11  11  - IDs instalados: 0 2 4 6 7 8 10 11 13 14 15 16 18 
-10.71  13  - IDs instalados: 1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 
-10.03  11  - IDs instalados: 0 1 2 3 4 5 6 8 9 10 14 15 18 
-8.5  9  - IDs instalados: 0 1 2 3 4 7 8 10 12 14 17 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-11.49  16  - IDs instalados: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-7.17  6  - IDs instalados: 2 6 7 8 9 10 11 12 
-7.64  6  - IDs instalados: 2 5 8 9 10 11 14 18 
-2.74  0  - IDs instalados: 2 10 
-2.94  2  - IDs instalados: 2 3 10 15 
-11.67  15  - IDs instalados: 0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
-6.08  7  - IDs instalados: 0 1 2 3 5 10 12 14 15 
-9.89  12  - IDs instalados: 2 4 5 6 8 9 10 11 12 14 15 16 17 18 
-5.79  3  - IDs instalados: 2 4 10 11 18 
-10.51  12  - IDs instalados: 1 2 3 5 6 7 9 10 11 12 13 14 17 18 
-8.02  6  - IDs instalados: 1 2 4 7 10 14 16 18 
-6.14  6  - IDs instalados: 2 3 8 10 12 13 15 18 
-10.48  14  - IDs instalados: 0 1 2 4 5 6 7 8 10 12 13 14 15 16 17 18 
-7.95  9  - IDs instalados: 0 1 2 3 8 9 10 11 13 15 18 
-3.55  2  - IDs instalados: 2 5 10 13 
-4.83  3  - IDs instalados: 2 10 12 13 17 
-9.09  8  - IDs instalados: 0 2 5 6 8 9 10 11 12 16 
-9.82  12  - IDs instalados: 0 2 3 4 6 7 8 9 10 11 13 15 16 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-11.19  15  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 12 14 15 16 17 18 
-4.93  3  - IDs instalados: 2 4 10 12 14 
-7.23  5  - IDs instalados: 2 4 5 10 14 17 18 
-3.22  2  - IDs instalados: 2 10 11 13 
-4.53  3  - IDs instalados: 2 3 10 16 17 
-11.67  16  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 
-6.36  8  - IDs instalados: 0 1 2 3 9 10 13 15 16 18 
-3.85  1  - IDs instalados: 2 8 10 
-10.51  12  - IDs instalados: 0 1 2 3 4 5 6 9 10 11 13 14 15 16 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-3.9  3  - IDs instalados: 2 3 7 10 12 
-6.54  4  - IDs instalados: 1 2 6 10 12 18 
-4.53  3  - IDs instalados: 2 4 5 10 15 
-9.51  9  - IDs instalados: 1 2 4 5 7 8 10 11 13 15 16 
-3.52  1  - IDs instalados: 2 4 10 
-5.24  6  - IDs instalados: 2 3 5 9 10 11 12 15 
-10.69  15  - IDs instalados: 0 1 2 3 5 6 7 8 9 10 11 12 13 14 16 17 18 
-2.94  1  - IDs instalados: 2 10 15 
-7.73  7  - IDs instalados: 1 2 6 9 10 11 12 16 17 
-2.74  0  - IDs instalados: 2 10 
-8.51  8  - IDs instalados: 0 1 2 4 6 10 14 15 17 18 
-3.52  3  - IDs instalados: 2 3 4 10 13 
-4.03  2  - IDs instalados: 0 2 10 14 
-11.49  15  - IDs instalados: 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 
-10.93  13  - IDs instalados: 0 2 4 5 6 7 8 9 10 11 12 13 14 15 16 
-9.22  11  - IDs instalados: 0 1 2 3 4 5 6 9 10 12 15 16 18 
-9.47  10  - IDs instalados: 0 1 2 4 6 7 8 10 12 13 16 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-8.66  11  - IDs instalados: 0 2 3 6 7 8 9 10 12 13 14 16 17 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-9.72  12  - IDs instalados: 0 1 2 5 7 8 9 10 11 12 13 16 17 18 
-7.95  7  - IDs instalados: 1 2 5 7 9 10 12 13 17 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-5.78  6  - IDs instalados: 2 3 6 7 9 10 12 15 
-6.36  4  - IDs instalados: 2 3 6 7 10 16 
-8.2  9  - IDs instalados: 0 1 2 4 7 8 10 13 14 16 17 
-10.15  11  - IDs instalados: 0 2 3 4 5 6 7 8 9 10 13 15 18 
-4.53  1  - IDs instalados: 2 10 16 
-6.39  4  - IDs instalados: 2 6 7 9 10 14 
-5.57  5  - IDs instalados: 2 3 4 7 9 10 11 
-3.71  1  - IDs instalados: 2 6 10 
-11.37  16  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 
-10.96  14  - IDs instalados: 0 1 2 3 4 5 6 7 10 11 12 13 14 15 16 17 
-9.92  14  - IDs instalados: 0 1 2 5 7 8 9 10 11 12 13 14 15 16 17 18 
-6.42  6  - IDs instalados: 2 3 4 8 10 13 16 18 
-7.06  10  - IDs instalados: 0 2 3 5 7 10 11 13 15 16 17 18 
-10.48  11  - IDs instalados: 1 2 4 5 6 7 10 11 13 14 15 16 18 
-8.14  9  - IDs instalados: 1 2 4 8 10 11 12 13 15 16 18 
-7.59  6  - IDs instalados: 2 3 4 6 8 10 15 17 
-3.04  1  - IDs instalados: 2 10 12 
-11.19  14  - IDs instalados: 1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 18 
-2.92  1  - IDs instalados: 0 2 10 
-11.19  16  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 
-10.61  15  - IDs instalados: 0 1 2 3 4 5 6 8 9 10 11 12 13 14 16 17 18 
-2.74  0  - IDs instalados: 2 10 
-7.22  6  - IDs instalados: 1 2 4 6 10 15 17 18 
-7.59  7  - IDs instalados: 2 4 5 6 10 12 13 15 17 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-9.14  11  - IDs instalados: 0 2 3 5 6 7 8 10 11 14 15 16 17 
-6.95  5  - IDs instalados: 2 4 7 10 11 12 16 
-2.92  2  - IDs instalados: 0 2 10 13 
-10.5  15  - IDs instalados: 0 1 2 3 4 5 7 8 9 10 11 12 13 14 16 17 18 
-4.05  2  - IDs instalados: 2 10 14 15 
-9.47  10  - IDs instalados: 0 2 5 6 7 9 10 12 14 16 17 18 
-7.59  7  - IDs instalados: 2 3 5 7 9 10 11 15 18 
-11.67  17  - IDs instalados: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
-2.92  2  - IDs instalados: 0 2 10 13 
