Instance,Alg,Type,Variant,Pop,Neigh,NVars,NEvals,MaxTime,Seed,Mut,Op1,Cross,Time_s,OutDir
1000-88_4.dat,MOEAD,cam,location,100,20,1000,1000,0,1,0.7,0.5,1,0.890352,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/1000-88_4
1450-71_4.dat,MOEAD,cam,location,100,20,1450,1000,0,1,0.7,0.5,1,1.78292,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/1450-71_4
1450-71_4.dat,MOEAD,cam,location,100,20,1450,25000,0,1,0.7,0.5,1,44.7012,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/1450-71_4
alcaldia_cuajimalpa_original.dat,MOEAD,cam,location,100,20,1800,25000,0,4,0.7,0.5,1,45.7276,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_cuajimalpa_original
alcaldia_cuajimalpa_original.dat,MOEAD,cam,location,100,20,1800,25000,0,1,0.7,0.5,1,28.2312,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_cuajimalpa_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,180,0.7,0.5,1,0.814508,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,80,0.7,0.5,1,0.709243,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,80,0.7,0.5,1,0.71773,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
100-3.dat,MOEAD,cam,location,100,20,100,1000,0,80,0.7,0.5,1,0.010618,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/100-3
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.724618,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.722121,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,93,0.7,0.5,1,0.697529,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.712351,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.747019,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.765342,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.731903,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,25000,0,1,0.7,0.5,1,18.4262,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,25000,0,1,0.7,0.5,1,19.1184,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,10000,0,1,0.7,0.5,1,7.19764,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.690651,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.732485,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.714298,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.713178,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.822208,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.837579,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,1000,0,2,0.7,0.5,1,1.464,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,400,0,2,0.7,0.5,1,0.552996,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,400,0,2,0.7,0.5,1,0.797153,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,400,0,2,0.7,0.5,1,0.65036,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,400,0,2,0.7,0.5,1,0.700593,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,400,0,2,0.7,0.5,1,0.66382,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,3.9287,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,3.85758,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,3.91849,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,3.75699,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,1.66628,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,1.61199,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,1.65265,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,1.65677,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,3.90411,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,12.1708,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
cam_1390_MILPA_ALTA.dat,MOEAD,cam,location,100,20,1390,2000,0,2,0.7,0.5,1,3.71971,./../datos/res/raw_moead/cam/cam_1390_MILPA_ALTA/test_2
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,1000,0,1,0.7,0.5,1,0.809052,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,100,20,1390,25000,0,1,0.7,0.5,1,42.0207,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,200,20,1390,20000,0,1,0.7,0.5,1,14.8974,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,400,40,1390,20000,0,1,0.7,0.5,1,15.3848,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,1000,40,1390,20000,0,1,0.7,0.5,1,18.5027,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
alcaldia_milpa_alta_original.dat,MOEAD,cam,location,1000,40,1390,50000,0,1,0.7,0.5,1,38.2343,/home/ignacio/TT2/visualizador_web/../solver_moead/../datos/res/raw_moead/cam/alcaldia_milpa_alta_original
