   0.0000000e+00   1.0000000e+00
   1.1123471e-03   9.9888765e-01
   2.2246941e-03   9.9777531e-01
   3.3370412e-03   9.9666296e-01
   4.4493882e-03   9.9555061e-01
   5.5617353e-03   9.9443826e-01
   6.6740823e-03   9.9332592e-01
   7.7864294e-03   9.9221357e-01
   8.8987764e-03   9.9110122e-01
   1.0011123e-02   9.8998888e-01
   1.1123471e-02   9.8887653e-01
   1.2235818e-02   9.8776418e-01
   1.3348165e-02   9.8665184e-01
   1.4460512e-02   9.8553949e-01
   1.5572859e-02   9.8442714e-01
   1.6685206e-02   9.8331479e-01
   1.7797553e-02   9.8220245e-01
   1.8909900e-02   9.8109010e-01
   2.0022247e-02   9.7997775e-01
   2.1134594e-02   9.7886541e-01
   2.2246941e-02   9.7775306e-01
   2.3359288e-02   9.7664071e-01
   2.4471635e-02   9.7552836e-01
   2.5583982e-02   9.7441602e-01
   2.6696329e-02   9.7330367e-01
   2.7808676e-02   9.7219132e-01
   2.8921023e-02   9.7107898e-01
   3.0033370e-02   9.6996663e-01
   3.1145717e-02   9.6885428e-01
   3.2258065e-02   9.6774194e-01
   3.3370412e-02   9.6662959e-01
   3.4482759e-02   9.6551724e-01
   3.5595106e-02   9.6440489e-01
   3.6707453e-02   9.6329255e-01
   3.7819800e-02   9.6218020e-01
   3.8932147e-02   9.6106785e-01
   4.0044494e-02   9.5995551e-01
   4.1156841e-02   9.5884316e-01
   4.2269188e-02   9.5773081e-01
   4.3381535e-02   9.5661846e-01
   4.4493882e-02   9.5550612e-01
   4.5606229e-02   9.5439377e-01
   4.6718576e-02   9.5328142e-01
   4.7830923e-02   9.5216908e-01
   4.8943270e-02   9.5105673e-01
   5.0055617e-02   9.4994438e-01
   5.1167964e-02   9.4883204e-01
   5.2280311e-02   9.4771969e-01
   5.3392659e-02   9.4660734e-01
   5.4505006e-02   9.4549499e-01
   5.5617353e-02   9.4438265e-01
   5.6729700e-02   9.4327030e-01
   5.7842047e-02   9.4215795e-01
   5.8954394e-02   9.4104561e-01
   6.0066741e-02   9.3993326e-01
   6.1179088e-02   9.3882091e-01
   6.2291435e-02   9.3770857e-01
   6.3403782e-02   9.3659622e-01
   6.4516129e-02   9.3548387e-01
   6.5628476e-02   9.3437152e-01
   6.6740823e-02   9.3325918e-01
   6.7853170e-02   9.3214683e-01
   6.8965517e-02   9.3103448e-01
   7.0077864e-02   9.2992214e-01
   7.1190211e-02   9.2880979e-01
   7.2302558e-02   9.2769744e-01
   7.3414905e-02   9.2658509e-01
   7.4527253e-02   9.2547275e-01
   7.5639600e-02   9.2436040e-01
   7.6751947e-02   9.2324805e-01
   7.7864294e-02   9.2213571e-01
   7.8976641e-02   9.2102336e-01
   8.0088988e-02   9.1991101e-01
   8.1201335e-02   9.1879867e-01
   8.2313682e-02   9.1768632e-01
   8.3426029e-02   9.1657397e-01
   8.4538376e-02   9.1546162e-01
   8.5650723e-02   9.1434928e-01
   8.6763070e-02   9.1323693e-01
   8.7875417e-02   9.1212458e-01
   8.8987764e-02   9.1101224e-01
   9.0100111e-02   9.0989989e-01
   9.1212458e-02   9.0878754e-01
   9.2324805e-02   9.0767519e-01
